"time","mkid","listpv","listuv","listuiduv","list_ipv","list_ipv_uv","list_ipv_uid_uv","alipay_uv","alipay_count","alipay_fee","gmv_uv","gmv_count","gmv_fee","pt"
"20111101","0","1156034","763382","495571","1361581","379149","254647","16440","19748","2119492.3300000075","20400","28277","3551802.95999992","20111101000000"
"20111101","441","13843","3509","2414","4586","1360","993","76","101","7284.050000000002","95","144","12387.199999999999","20111101000000"
"20111101","541","4","4","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","542","1732380","416715","231750","742511","209277","124749","3966","4478","1479074.8300000045","5390","7042","3641447.739999985","20111101000000"
"20111101","543","456467","83955","46155","133328","36970","22369","217","238","57131.79","405","520","378070.1400000001","20111101000000"
"20111101","544","2439","1075","724","536","261","195","12","14","1611.55","16","22","3119.3","20111101000000"
"20111101","545","2","2","1","1761217","409327","255504","10980","11930","1573044.8300000103","14972","19621","3880855.87999997","20111101000000"
"20111101","546","1674368","303856","167385","1001697","219547","125736","6976","8116","1062950.309999999","9147","12638","1888480.6200000015","20111101000000"
"20111101","548","727798","179148","117557","229314","71066","49541","2596","3392","214007.09999999998","3302","4880","337204.8399999983","20111101000000"
"20111101","549","841","594","539","285","156","152","2","2","97.86","2","2","116.5","20111101000000"
"20111101","550","4","4","3","3","2","2","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","551","844179","132407","79326","223188","63086","41663","1574","1821","90326.88999999993","2219","2968","180156.2599999987","20111101000000"
"20111101","552","930304","150006","82055","274648","78861","44434","1032","1089","241134.35000000015","1679","2239","814570.5100000001","20111101000000"
"20111101","553","9836","2898","1781","4287","1510","973","26","33","4358.49","34","46","9902.0","20111101000000"
"20111101","554","13","2","2","196363","68732","48967","3593","4008","279943.44999999873","4409","5633","446198.1099999982","20111101000000"
"20111101","555","831303","182236","106988","344706","96071","60149","3477","3621","768765.2900000013","4417","5503","1449096.0900000024","20111101000000"
"20111101","557","599974","124057","79578","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","565","4","4","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","568","262675","50515","29326","107023","25100","15443","913","1091","79688.85000000002","1162","1676","121744.95000000003","20111101000000"
"20111101","569","1398477","182991","99492","565584","116272","67450","4909","5924","753347.1900000022","6220","8966","1451697.4600000065","20111101000000"
"20111101","571","608200","108119","67216","312085","68339","44972","2558","3321","410561.5299999997","3224","4803","746019.1000000015","20111101000000"
"20111101","574","1842","818","621","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","575","20984","7464","5449","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","576","407366","78632","45994","118605","31058","19020","788","996","156974.20000000004","999","1388","240365.51999999993","20111101000000"
"20111101","577","489082","81645","48443","156570","39722","25198","935","1110","81871.64000000012","1130","1565","116051.52000000002","20111101000000"
"20111101","578","1001410","293696","229401","326713","139883","121807","84810","117611","5202111.690000265","93425","139441","8093943.430000976","20111101000000"
"20111101","581","171661","43350","25246","62882","20292","12072","685","731","55257.82000000003","893","1126","141446.36999999997","20111101000000"
"20111101","582","88105","38083","26367","16025","7812","5866","152","177","31929.929999999993","184","244","65983.28","20111101000000"
"20111101","808","67102","22158","14046","12483","5944","4234","2","2","125.0","4","4","306.0","20111101000000"
"20111101","817","1064857","142976","76878","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","835","146921","47628","29095","55938","17843","11329","335","346","54469.740000000005","421","515","82163.09000000007","20111101000000"
"20111101","843","996032","228220","144113","249035","84482","59880","4305","4727","310972.4799999996","5472","6969","488884.1800000019","20111101000000"
"20111101","861","2307404","295032","169607","724638","160364","99379","2438","2991","520517.2100000009","3209","4578","1073721.140000003","20111101000000"
"20111101","869","5087454","572651","342580","1837073","343127","227675","17181","22384","1738160.3700000022","21487","31914","2569069.4499999434","20111101000000"
"20111101","874","18524107","1992575","1136958","7393842","1347823","821251","33401","40717","4410475.559999867","45701","65559","8952307.400000123","20111101000000"
"20111101","885","750935","200268","131384","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","893","6173866","693672","396797","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","894","3487631","372552","215605","964313","222414","142988","6076","6577","618797.6900000026","8215","10805","1359171.2699999928","20111101000000"
"20111101","895","2680410","449504","251965","1240621","280306","169471","12890","15223","1900251.7800000207","16882","23565","3669232.379999987","20111101000000"
"20111101","896","1576813","224747","123189","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","897","565811","84585","47407","215422","50528","30970","2257","2316","279670.80000000005","2975","3761","728338.9700000004","20111101000000"
"20111101","898","1920807","289658","176592","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111101","899","1185252","193029","116595","447174","110744","72794","4178","5560","258949.159999999","5469","8230","526732.3199999975","20111101000000"
"20111101","925","54794","14521","8485","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111101000000"
"20111102","0","1237370","790373","514812","1371159","386192","258578","16770","19758","2258900.9600000028","20789","28233","3878889.109999909","20111102000000"
"20111102","441","13328","3503","2517","4823","1597","1010","81","97","8150.34","99","134","11811.44","20111102000000"
"20111102","541","7","3","3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","542","1050342","259570","144187","749597","214219","127836","4061","4618","1431088.7700000016","5504","7403","3513632.2699999856","20111102000000"
"20111102","543","487567","89342","49773","139282","39321","24035","209","223","58578.29000000001","423","537","619790.4000000001","20111102000000"
"20111102","544","2577","1059","719","609","260","197","10","10","618.6","14","14","900.0","20111102000000"
"20111102","545","3","3","2","1754787","408516","258411","10667","11607","1529132.220000005","14638","19119","3697270.8199999677","20111102000000"
"20111102","546","1670127","301728","166341","998656","219076","125607","6687","7867","993837.1600000001","8837","12330","1719708.430000002","20111102000000"
"20111102","548","713077","173547","111929","224603","69698","47852","2531","3379","201066.4799999995","3191","4844","314120.48999999824","20111102000000"
"20111102","549","1018","623","535","425","190","177","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","550","4","4","3","1","1","1","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","551","902450","142937","85738","234640","67015","44025","1636","1852","98458.26000000011","2297","3050","178093.97999999882","20111102000000"
"20111102","552","374626","60933","33371","116261","35246","18742","467","504","120442.26000000002","736","1006","398153.50000000006","20111102000000"
"20111102","553","9329","2864","1776","4237","1490","927","42","47","5321.700000000001","59","84","13386.0","20111102000000"
"20111102","554","2","1","1","203922","71105","50560","3754","4211","284447.6899999993","4570","5801","446689.44999999856","20111102000000"
"20111102","555","498049","112089","65687","331163","93502","58113","3542","3717","781805.8900000014","4449","5636","1581711.26","20111102000000"
"20111102","557","598303","117227","75550","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","565","2","2","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","567","1","1","1","509007","127421","75625","5850","6289","840141.3199999998","8036","10800","1762180.6699999985","20111102000000"
"20111102","568","270006","51824","30563","108921","25427","15873","893","1044","77602.37999999996","1144","1624","122284.52000000003","20111102000000"
"20111102","569","1460371","192231","105329","579573","121047","70767","5042","6059","704400.7400000026","6423","9092","1310450.0400000068","20111102000000"
"20111102","571","728560","133230","84375","363437","81016","53696","2883","3792","476142.2699999995","3628","5414","871432.4800000023","20111102000000"
"20111102","574","1837","877","630","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","575","22364","7810","5725","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","576","422047","82594","48940","118624","32227","20234","759","877","128264.48000000007","961","1306","231290.21999999945","20111102000000"
"20111102","577","531869","89522","54463","165971","43152","27819","940","1170","75260.32","1146","1619","117888.53000000014","20111102000000"
"20111102","578","964418","280095","217516","302900","130950","113901","77140","105883","4383122.820000081","85194","125784","6812662.660000733","20111102000000"
"20111102","579","1","1","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","20111102000000"
"20111102","581","204629","55177","34258","75314","24764","16058","758","851","56088.43000000006","990","1269","139540.58999999994","20111102000000"
"20111102","582","91628","41237","28794","15735","7592","5750","136","160","31083.55","167","210","41014.88","20111102000000"
"20111102","808","73174","23928","15055","13564","6417","4552","7","7","1155.34","8","9","1682.01","20111102000000"
